scm_name,repo_name,default_branch,hr_info,is_production,jfrog_ci_status,jfrog_cd_status,deployed_artifacts,sonar_ci_status,sonar_is_scanned,critical_dependencies_vuln,high_dependencies_vuln,code_secrets,code_critical_vulnerabilities,enforcement_on_artifact_push,enforcement_on_critical_sast,sbom_created_per_artifact,sbom_kept_indefinitely
bitbucket_server,automatic-phishing-event-preparer,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/automatic-phishing-event-preparer:d64d24c5c85e5967036969d7766070588b0f07ac""]",FALSE,Unhandled Yet,6,25,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,automatic-ticket-pipeline-generator,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,automatic-validation,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,AWS,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,aws-discovery-service,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,azure-discovery-service,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,backups,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,bestwhois-loader,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/bestwhois-loader:791bc90f7fbac36d80e775c9f577c2ada79ccf40""]",FALSE,Unhandled Yet,6,24,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,boilerplate-ui,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,bootstrap,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,boto3-wrapper,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,breachomania-api,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,breachomania-enrichment-opencti-connector,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,breachomania-opencti-connector,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,breachomania-uploader-opencti-connector,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
